id;guid;entity_guid;address;zip_code;city;country;address_type;contact_type
1;overriding;internet solution;Total;54637;Jessicaport;Belize;WORK;PAPER
2;customized payment;Grass-roots Cambridgeshire;Personal Loan Account;01213;South Carolinahaven;Cocos (Keeling) Islands;HOME;TEACHING_STAFF
3;Andorra;Rand Namibia Dollar Executive;incubate Agent TCP;92417-6897;Kaelamouth;Kyrgyz Republic;WORK;TEACHING_STAFF
4;system;Buckinghamshire;Bouvet Island (Bouvetoya);67205-5194;South Laurel;Australia;WORK;PAPER
5;open architecture;Gorgeous Metal Shoes;Investment Account;64731;Starkfort;Saint Helena;CORRESPONDENCE;INSTITUTIONAL
6;Mobility;Arizona synthesizing Fresh;override back-end hacking;82665;Herzogborough;Tanzania;CORRESPONDENCE;SUBJECT
7;intranet index;Idaho customized;synthesize Bahrain;26514-9367;New Broderick;Central African Republic;WORK;PAPER
8;program;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;13841-6357;Cameronport;Czech Republic;HOME;SUBJECT
9;Persistent transparent Chips;front-end Intuitive vortals;Communications;95151;Derricktown;Reunion;HOME;TEACHING_STAFF
10;maximize Practical Steel Fish;Configuration;District Wooden Visionary;81189;Port Elvie;Macao;WORK;TEACHING_STAFF
