id;guid;name;graduation_type
1;backing up;Iran;MASTER_DEGREE
2;Strategist;card Licensed Cotton Ball;PHD
3;Chips;navigating;MASTER_DEGREE
4;Benin;Tuna Response invoice;MASTER_DEGREE
5;system Gorgeous Rubber Pants;hack;DOCTOR_DEGREE
6;Ergonomic Steel Gloves;Developer Shoes Music;MASTER_DEGREE
7;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;POST_GRADUATE
8;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;MASTER_DEGREE
9;parsing Investment Account;Branding Dynamic black;POST_GRADUATE
10;Books Generic;robust withdrawal generate;DOCTOR_DEGREE
